date,count
2018.10.29,36107
2018.10.30,37382
2018.10.31,39009
2018.11.1,41911
2018.11.2,44917
2018.11.3,40640
2018.11.4,39973
2018.11.5,43870
2018.11.6,39680
2018.11.7,29492
2018.11.8,2730
2018.11.9,34673
2018.11.10,34194
2018.11.11,23926
2018.11.12,38706
2018.11.13,40263
2018.11.14,41973
2018.11.15,39702
2018.11.16,37629
2018.11.17,28167
2018.11.18,26464
2018.11.19,34352
2018.11.20,34855
2018.11.21,28140
2018.11.22,29239
2018.11.23,28620
2018.11.24,11255
2018.11.25,19946
2018.11.26,30698
2018.11.27,28806
2018.11.28,29177
2018.11.29,28977
2018.11.30,28557
2018.12.1,24622
2018.12.2,23035
2018.12.3,10638
2018.12.4,20029
2018.12.5,23535
2018.12.6,23788
2018.12.7,15148
2018.12.8,9824
2018.12.9,8749
2018.12.10,17987
2018.12.11,20805
2018.12.12,19339
2018.12.13,11765
2018.12.14,14932
2018.12.15,12720
2018.12.16,10783
2018.12.17,17449
2018.12.18,20917
2018.12.19,21970
2018.12.20,22881
2018.12.21,23422
2018.12.22,17127
2018.12.23,13601
2018.12.24,16579
2018.12.25,12437
2018.12.26,17112
2018.12.27,11325
2018.12.28,10445
2018.12.29,8083
2018.12.30,7864
2018.12.31,11911
2019.1.1,8601
2019.1.2,14360
2019.1.3,16344
2019.1.4,17308
2019.1.5,12380
2019.1.6,11094
2019.1.7,16795
2019.1.8,15833
2019.1.9,15819
2019.1.10,17894
2019.1.11,19271
2019.1.12,14519
2019.1.13,11751
2019.1.14,14818
2019.1.15,14761
2019.1.16,15823
2019.1.17,17960
2019.1.18,18901
2019.1.19,14883
2019.1.20,11191
2019.1.21,17240
2019.1.22,19885
2019.1.23,19163
2019.1.24,20057
2019.1.25,18159
2019.1.26,13203
2019.1.27,12440
2019.1.28,17317
2019.1.29,19477
2019.1.30,20677
2019.1.31,17649
2019.2.1,17696
2019.2.2,13742
2019.2.3,2010
2019.2.4,8562
2019.2.5,9119
2019.2.6,13694
2019.2.7,14533
2019.2.8,14782
2019.2.9,11760
2019.2.10,9759
2019.2.11,16881
2019.2.12,18862
2019.2.13,18411
2019.2.14,19376
2019.2.15,9213
2019.2.16,12641
2019.2.17,13390
2019.2.18,19916
2019.2.19,11689
2019.2.20,19572
2019.2.21,20995
2019.2.22,21727
2019.2.23,23742
2019.2.24,21933
2019.2.25,23445
2019.2.26,28010
2019.2.27,28652
2019.2.28,27431
2019.3.1,21751
2019.3.2,22503
2019.3.3,24382
2019.3.4,26887
2019.3.5,24042
2019.3.6,25379
2019.3.7,31156
2019.3.8,33073
2019.3.9,32421
2019.3.10,31050
2019.3.11,28539
2019.3.12,25537
2019.3.13,28653
2019.3.14,30997
2019.3.15,20481
2019.3.16,26057
2019.3.17,35622
2019.3.18,36313
2019.3.19,39908
2019.3.20,16204
2019.3.21,26455
2019.3.22,32363
2019.3.23,21696
2019.3.24,31622
2019.3.25,34226
2019.3.26,42644
2019.3.27,35832
2019.3.28,38806
2019.3.29,43893
2019.3.30,14001
2019.3.31,22326
2019.4.1,37660
2019.4.2,42029
2019.4.3,43257
2019.4.4,45681
2019.4.5,45643
2019.4.6,25902
2019.4.7,55943
2019.4.8,52643
2019.4.9,24734
2019.4.10,26421
2019.4.11,51013
2019.4.12,55125
2019.4.13,57020
2019.4.14,28467
2019.4.15,55422
2019.4.16,60566
2019.4.17,62522
2019.4.18,50439
2019.4.19,60925
2019.4.20,51068
2019.4.21,53339
2019.4.22,63995
2019.4.23,58811
2019.4.24,55815
2019.4.25,22471
2019.4.26,26484
2019.4.27,65124
2019.4.28,56012
2019.4.29,63256
2019.4.30,70213
2019.5.1,76439
2019.5.2,72430
2019.5.3,73647
2019.5.4,66392
2019.5.5,66911
2019.5.6,74806
2019.5.7,70506
2019.5.8,70426
2019.5.9,71707
2019.5.10,74960
2019.5.11,76110
2019.5.12,73318
2019.5.13,68389
2019.5.14,78385
2019.5.15,76969
2019.5.16,75399
2019.5.17,79158
2019.5.18,79583
2019.5.19,12749
2019.5.20,72066
2019.5.21,80599
2019.5.22,80735
2019.5.23,78504
2019.5.24,77190
2019.5.25,75791
2019.5.26,74327
2019.5.27,30670
2019.5.28,83654
2019.5.29,83496
2019.5.30,73814
2019.5.31,83765
2019.6.1,79878
2019.6.2,77091
2019.6.3,82911
2019.6.4,83576
2019.6.5,81515
2019.6.6,36945
2019.6.7,54701
2019.6.8,83736
2019.6.9,60371
2019.6.10,63032
2019.6.11,85776
2019.6.12,83506
2019.6.13,81540
2019.6.14,85533
2019.6.15,71883
2019.6.16,81803
2019.6.17,86987
2019.6.18,42393
2019.6.19,79958
2019.6.20,88226
2019.6.21,81089
2019.6.22,85728
2019.6.23,79269
2019.6.24,88432
2019.6.25,88096
2019.6.26,81274
2019.6.27,79234
2019.6.28,77056
2019.6.29,67346
2019.6.30,74994
2019.7.1,92814
2019.7.2,94783
2019.7.3,94773
2019.7.4,90397
2019.7.5,83994
2019.7.6,70246
2019.7.7,75116
2019.7.8,93609
2019.7.9,95859
2019.7.10,43842
2019.7.11,65003
2019.7.12,94473
2019.7.13,81067
2019.7.14,74259
2019.7.15,57917
2019.7.16,82285
2019.7.17,84261
2019.7.18,81613
2019.7.19,77449
2019.7.20,56648
2019.7.21,46130
